emotion,example
sadness,"I think those kind of things that are going on right now, they were not there Gupta – 1 – 9 Gupta: And I could see—and then because I did the education here, I actually went back My father wanted me to get a job The learning experience and things that I learned over here were not applicable over there  and so I found myself a misfit there now because of my education I got a higher education but it was not the same type that the industries over there were looking for"
sadness,"Now in this pandemic, everything's sort of shut down, but overall Hinduism is one of the top three religions in the world and people want to know more about it Gupta: Like I said before, we have regular visits from high schools There are teachers who are there, who teach cultural and multi-interfaith things They know us And every semester, every year, they call and say, “Can I bring the students"
sadness,"Nothing wrong with the digital, but you also need in-person face-to-face interaction That's very, very important The digital divide—it could become a digital divide and—or actually, all studies are that too much of this digital world actually makes people depressed Because you still need that human touch and the human interaction So that's something that I do worry about, but it’s beyond my control"
sadness,"” But even in America, the material, there's more hunger, there's more poverty, there's less of everything, except for the super rich people The education is going downhill, and the people are getting into more baser values Women are being exploited I wondered why, and that’s why I said I feel therefore there's more need and importance of temples and churches to provide the alternative Because many times, people don't even know that there's an alternative"
sadness,"I think happiest moment was opening the temple in 1999 and cultural center came afterwards, but same degree But it already happened 1999, so this was like a repeat Happiest moments was also seeing my sons getting married and having grandsons and granddaughter All those things Gupta: One of the happiest moments was my younger brother, he just doesn't want to move out of his hometown"
sadness,"There were numerous factors, I think that point Um, I was living with my grandparents as mentioned before So, um, my grandfather had gotten pretty old at that point and he had Parkinson's Disease, so he was beginning to have difficulty, uh, you know, getting around and stuff And he, he um, my grandmother was the only other person, and we had some help, but like, I think everyone thought it would be good to have like a younger guy around to help him, you know, cause it's nicer having a guy around, like cause you know to like pick him up and stuff when it got a little bit further along um, they needed someone and I, it was, it was good experience So like basically, uh, it was, uh, it, uh, it was my, my university was a little bit outside Bangalore city and, um, I took, uh, the bus every morning, went there, it was about an hour and a half or so bus commute and then, um, and went to college and came back every night, and then I was around, it was a great life because like, my grandparents were pretty chill, like they just, you know, had there, they were both retired, so they were just sort of like doing their own thing, and, uh, and for me, I just, I think there's was like a, a good set up"
sadness,"But then unfortunately, like, uh, two years, uh not even two years, like I think my second year of college, like my grandfather passed away, so like my purpose of being there was kind of a no longer, really necessary, but then, uh, then my grandmother was alone and so, so then I think it just sort of was natural, I continued to stay, um, and then until I finished undergrad I was, and then I worked for La Wildman and still like, I pretty much, home is still my grandmother's house, yeah ” Andy: “Okay, uh what was the name of your University ” D J “Um, so, well you can say Institute of Science I think is the university system"
sadness,"guy, the guy who worked on it, like he rebuilt it, version two was built and um, he had, uh, I had a plan to meet up with them, we were going to sail from Sydney, Australia to the Galapagos, so a Pacific crossing, and so I was in grad school here at the time and like, I was like, ‘heck yeah, I'm doing this’, and then so we prepped it We, I was like, we had a date in mind, I was going to fly to Sydney, meet up with them, spend a month, you know, prepping the vessel and it's about a four month, six month trip to get to the Galapagos, and so we were like, uh, okay, I was prepping for that and unfortunately while this was happening, he passed away He had a…he had and uh, um, you know, an aortic aneurism, like he basically he was at the launch, the launched the vessel and he came back home and they threw a big party for him to celebrate the fact, not just for him But like celebrate this projects coming second completion and like keep like they were like having drinks and he was laughing very loudly and you remember like he was like having some like really like large belly laugh apparently and that was enough to like essentially rupture is a, immediately he realized we had this like tearing pain and like distending and like had like, like blood everywhere, and people were like, “what the hell is going on ” and they rushed him to the hospital, but by then we went there, he was gone, so, so he died, and then the project just like, like it got split, like the vessel was, it was not the one that's here, but it's like a different version of it that was like, like the stripped out all the technology from it, and they sold it for parts because the vessel had actually reached the trial run they had to do was to sail from India to Malaysia, to Langkawi uh, the Navy has a, has a base there, and so like, so they, when he sailed to Langkawi, flew back for this party had this amazing party and like, ‘oh, you know, like we've done it again"
sadness,"Yeah, the visa, H1B is only granted for uh me, and my wife and daughter were  dependent In other words, uh it’s called H1B and the dependents are H4 H4 visa, the people are not eligible to work, so And my wife was uh––she is a master’s degree holder and uh unfortunately, she was not eligible to work Um so, she used to be my de––she was legally here, me and my daught––she and my daughter, but my wife couldn’t work because of the immigration policy"
sadness,"Yes, of course because I used to come home only on the weekends, I couldn’t do much for the support the family, just only earn All the things was taken care of by my wife for the daughter like schooling, uh going taking her around for all this community work and things like that It was tough on me, just being there for the whole week, coming only for the weekend And also, it took a lot of toll on my wife’s health too She couldn’t––that’s the reason we lost her"
admiration,"Vietnam War started to wind down because when the first student was killed by the troops at Kent State in Ohio, that led to the American people to start thinking about their involvement 4 Then I saw the moon landing in July That was a very good experience, I guess I ​ ​ was very fascinated July of '69, I don't know how many of you know that"
admiration,"So, I asked my parents, my mother was very outgoing, she had two years college in 1936, my father had a BS in agriculture, right And my mother, even when she was coming first time here, she wanted to eat American food and not Indian food and my father, “Oh, big deal ” And my mother liked it very much And especially Yasmine was a little baby at that time and she was very attached This is the beauty in a female person, because they keep a kid in tummy for nine months, they know how to connect over the years"
admiration,"And you need to cross the river I believe so he would cross the river carrying the bicycle on his head and go to the other side and go That's such a hardworking man He made it in Bangalore, he married a girl in Bangalore, and he raised a family He knows the value of that, but he got a really good position in Veterinary Agriculture University"
admiration,"usually, most people do stay…surprisingly…um it’s actually um…really good the University is like, especially the medical faculty and the medical college of Colombo is really good Both my parents went there and it’s world recognized, like if you went to college there just for undergrad whenever you want to go somewhere else for graduate degree, what is basically what my dad and mom did um, it’s recognized all over the world, it’s a good University…but I’m not doing medicine like my parents… So the engineering school not so much, I mean it’s all free so that’s really good"
admiration,"Favorite…good stuff ok…um… hmm… Well I represented Sri Lanka my country and the international mathematics competition in 2012, no 11… so that was nice, I met…because um… 24 students were chosen from all over the country through one exam…well they had several rounds…but it was the same exam and like…really smart, I met lots of really smart young people umm… it was amazing…uh and…and they came…I didn’t have any friends from like Jaffna, the North…like the Tamil areas…I didn’t have any friends from that area because I can’t reach out but then…then they lots of students came from that area and it was really nice"
admiration,"And it was just from the first day it was just awesome Everything, you know, everybody—again its integrated and I made lots of friends instantly I played basketball, did swimming, and this and that, all the sports you could imagine, soccer Um I was there through high school and it was awesome Um had lots of friends, was very popular, did well in school"
admiration,"Sukhamoy I didn't know before him very well, I knew just about 6 months before I went to almost a year before I went to in the Presidency College he was a brilliant young student from Calcutta who visited Santiniketan a number of times and I met him And I was absolutely bowled over by his intellect and his originality and by his humanity and we became very close friends of course and he was one of the influences in making me rethink whether I want to continue doing Physics which is what I had started in Santiniketan in what used to be called Intermediate Science now they have absorbed into the school but in those days that was meant to be in early college at the age of you know I was doing that at the age of 14 not yet 15 when I was doing this alleged college thing this Intermediate Science but that was then involved in Maths and Physics, there was Maths interest continued because in Economics I was still remained interested in Maths though the type of Math had changed a bit and in the case of the move from Physics to Economics I think conversation with Sukhamoy would be a very big factor in that and my interest in politics was another very big factor so taking everything into account and also the one economist I knew well namely AK Dasgupta Amiya Dasgupta who was a close family friend of my parents and I chatted with him and he was also encouraging me to do Economics which is what I did"
admiration,"But we had some remarkably good teachers in Economics particularly Bhabhatosh Datta who was there was another Bhabhatosh Datta who was a literary figure, this is an economist and he was probably the most spectacularly lucid expositor in economics I have ever run into in my life"
admiration,"I remember running in the dark down the long lane I was in Presidency College, I was in English honors, saying to myself, I believe I am an intellectual You know, it was the most incredible thing It was silly, but there it was"
admiration,"It was a fantastic feeling, and I say that it was a very intellectual school because the teachers were converted aboriginals and so-called low castes, and so therefore they were completely, like, inspired with the love of education, and they felt that it was a fantastic thing that they were educating, basically We didn't really understand that then, but as I grew older I realized that they were extremely excited that they were actually educating upper-caste caste Hindu children and Muslim children and so on and so forth It was a very, very wonderful atmosphere"
fear,"My mother was saying that when I was five years old, when I first went to school, and she would have a servant that would take me to school and bring me back And one time he forgot and she was wondering why I'd not come home, and the thing was I did not see the servant and I just walked out of school, five years old, and I was walking in this town ,and then somebody saw me and said, Who are you, what are you doing I was kind of crying and he brought me back home I'm not sure how much that will happen now, but I mean, many kids would get molested or kidnapped or hurt or all those things that you hear about Gupta: And so, it  has become a more risky place for everyone, and more so"
fear,"Like it was really tragic and like kids couldn't go to school So like, you know, you lose years’ worth of life there and like, there's nothing to do, like, I mean these people can't really leave and go anywhere else because they want to be around when the water dissipates and they can like reclaim their house and like otherwise they’re worried that they’re just going to like condemn everything and destroy it all because like that's what like a government would want to do that just be like, let's just call it, cut our losses and then like just like end all this and like cause like records for like land, when the water recedes, like you can't even be sure that like the markings of like property lines and stuff, are going to be conserved So like literally, unless the people were there, they felt like they would just get screwed, so they, a lot of people just stayed and that just meant that they were like living on rafts basically, like they were just like living on rafts and it's like, surrounded by water, but you can't drink any of it, you can't use it for anything, cause it's like just, it's like, you know, brackish, salt water that's like very quickly just sewage, it's just, it doesn't drain anywhere, it doesn't go anywhere, it just stays there, and it took them and it just doesn’t get reabsorbed into the ground, and I think it's like, it was a pretty disastrous like occurrence, the 2004 tsunami and like so rapid, like literally like it was overnight in two hours they went from just a bustling regular old city to like nothing, it's crazy ” Andy: “Yeah, and uh you said that your, you focused on reverse osmosis when you were there ” D"
fear,"Then I went to graduate school, then I realized if you finished your biochemistry, there is a high demand in western countries, like Australia, British, and uh so all the people who ever finished biochemistry, they took what they call post-doctoral fellowship in one of the universities in one of the uh American university or Canadian university, London, all those things Then I said okay, I was in back of my mind, even I was little nervous, how do I leave this country and go somewhere else My English is so poor, I don't what the culture is, I heard all kind of things, pizza and all, I'm little bit worried about that But"
fear,"but by the meantime he was transferred to Bombay he was working for a telephone company, I mean not a telephone company, telephone company owned by the federal government in India, central government, he's working as the accounts officer for the telephone, so he was in Bombay at that time and then finally, eventually, fall into places, they arranged me a fellowship and then I went to London That was my first exposure to Western country, everything was brand new to me I was so scared and so nervous, but fortunately there was one person from Christian Medical College went there and he was living there He came to the airport, tried to settle me down and uh"
fear,"then I worked in a Geist hospital and Welcome Research Laboratory M: And the my colleagues and my professor was really good, really with open arm they welcomed me, they arranged me to settle down everywhere and uh then that was where it started Even though initially I was scared, within a matter of 3 or 4 weeks, except I get used to that, that uh except the food wise, I was suffering, I could not eat there just without salt or without any spices"
fear,"Yea…um yea I don’t remember uh like the beginnings when I was smaller but then when I was like 14 or 15 umm that was towards the end, like you said it became really serious and um I do remember like…like…two of my friends father’s were like head officers in the war so they had first hand experiences too and they would tell us stuff then you would see it in the news and it became a really big deal and um…uh LTTE was the first people to use suicide bombers as a weapon uh and…I t was…and we got a lot of international attention on the end…we were on BBC and stuff, that was big for us  we were huge…uh but…yea…it was strange…it was a big time It was scary, it was scary to go out…in like in public because there were bombs going out in Colombo…and I heard a bomb once we saw the flames, like the smoke coming out from my school, well I could see it and that scared us a lot even though no one died from that bomb thank god"
fear,"Lots of people did die in Colombo uhm…yea…so um…it got to a point where we could not go to school because we were too scared and…winning the war was really important I guess for safety Clarissa; Yea…from the reading I’ve done…from all over the world…from sources in England, from sources in America…and um there’s not a lot or like Sri Lankan government publications…There is some that I found but not a lot…um they all sort of talked about the LTTE um…or also known as the Tamil Tigers which a lot of people around the world refer to them as, as a terrorist organization…so um just um…as an American we and just people all around the world have very specific connotations of a terrorist organization so when you hear that…what exactly does that mean to you : Um…well…um I don’t think Prabakharan who is the leader had any terrorist ideals…like really…I don’t think he wanted to terrorize the country he just wanted part of the country…so, but I think he realized that it was impossible to get that without brute force Um…and they did mention, like they did proclaim themselves as a terrorist organization and that’s what scared lots of people around the world…um…I don’t know it was just strange because that terrorist organization grew up from our own country It’s not somebody who invaded us or something"
fear,"oh, oh okay) : Ummm… Ummm…well I’m Buddhist also and that’s like the most significant, most abundant religion I should say yea um so… in our religion and in…in our religion there isn’t anything forbidding um homosexual relationship and neither is there anything in our culture it’s just that there’s this law in Sri Lanka that says it’s forbidden, there’s nothing in our culture which says it’s bad so…I think people are so scared of it and they use the law against it, they don’t ever say like the religion is saying anything or that you’re going against your culture…they just use the law umm…and umm…and so nobodies out, nobody, I guess maybe like underground people are out but then…I don’t know how they’re doing that , but um, it’s really scary to be out, especially in college, in school…but um I know some lesbians I our school uh who aren’t out but they still have relationships with like other girls and in school it’s just like my sister comes and tells me about them kissing in the bathroom and somebody saw and it’s like a huge deal…teachers come and they scold and it’s just  ("
fear,"Um, so—and I was, you know, uh trying to do the paperwork for a divorce and stuff like that, but this was again a huge challenge Because here wewere, after being together since high school, raising a family, and just one night, he disappeared right after we moved to Baltimore We were living um in Highlandtown in this little rowhouse in a new city and all of sudden overnight, literally overnight,  I became a single mom So, um it was very traumatic I remember the next day, because I didn’t know what was happening, I went to your school and told them that something’s happening, I don’t really know what, but that I was scared that  he would come back and try to take you or do something"
fear,"I was too afraid to even go to the—stay in the house So, we packed a bag and we stayed at my cousin’s house in Arbutus for like three weeks And I told the school not to let anybody else pick you up except me or Michael, who I worked for, who also lived in that—close to the school Because I was scared that this guy could come back and do anything just the way he left So, we did that, and after that, um we did stay in the house, but I was just totally alone um"
pride,"And I got, I got this job, I can remember I got this job for like, you know, big company that there was like electrical machines, like motors and fans and turbines and stuff like that, rotating machinery, uh called Crompton Greaves, and, um, and so uh my parents were pretty happy about that and they were like, okay, so you have a life now are you're going to build life on this company, and there they were pretty okay with that situation, and my first postings, it's like a nationwide company and it like it’s similar to GE, they're, they're almost equivalent like GE here So it's like the Indian GE, and so they sent me to a small pump, like they make like a turbine pumps at a turbine pump unit in Goa which I don't know if you’ve heard of Goa, Goa is a state in India, it's a very small state like Vermont, um, it's uh, it's famous because it's like, it's on the beach, it's basically just one big beach, like the party state, it's uh where if you live anywhere in sort of central in, in India, not very far north or whatever, if you want to like go have a crazy time, it's like our Vegas, it’s our, like our, like Orlando and it's like its beaches spring break equivalent, like the beer is cheap and like they plenty of beaches and um, you just like if you're in college, if you're young guy, or young people, that's where you go, so I was like kind of thrilled about like living in Goa, I'd never actually been to Goa really, and so, so we went and visited this factory, it was kind of like, you know, factories are not impressive really Like they're like, it's a lot of like, you know, I, I toured it, so where I'd be working, it's kind of like sketchy looking and like, I was like, shit man, this is like, this is legit, this is happening, I’m going to be living in this state, It's beautiful, beautiful beaches, and a great place to live But like, I guess this is how life starts and it was going to, this is going to be the future And I feel like that in many phases in my life, I'd be like, shit, like this, this is, this is all it's going to be, and then, um, and so like the day before I like, like the week before my start date, I was like, ah, you know what"
pride,"’, like it's the most, you know, I’d love to do it, and then he's like, well minor caveat, like you will have to like go through basic training and uh, do all the qualification stuff and then they will fast track you through like officer academy and stuff and then you'll be good, I was like, I guess I'm doing that, and then he's like, also it's like great, it's a great, great career choice, you know, because then we'll just sign you up like through Grad school You can basically work on this as your graduate studies and you can do an Institute of Science as a graduate student and you can just, you know, it'll all be good, like I think it's all, it's a smart thing to do, and I was like, this is my, I think this is exactly what I wanted, it was exactly what I wanted So then I did like navy stuff, and data, the training was like super easy, like I don't think, I feel like I was the most challenging thing I ever did, uh, you know, it's all the same like militaries around the world, it's like exactly the same, it's just different flags Principals are identical and you just pretty much just, you know, they tell you who did not like and who you like and then you're like, all right, cool, that's, that's, that's, that's fine, and then, I did that then unfortunately, then as soon as I finished and as soon as I got my stripes and stuff and I signed my commission, they, we were ready for sea trials And so straight away went onboard, so grad school as such was not like I didn't have time to like come back to Bangalore and Bangalore is in the middle of the country, so it's like landlocked, and so we had to go to a, like a naval base and that's where we operated from, and then, uh, so I was on base doing like, you know, pre pretrial testing and super busy, every day was like awesome"
pride,"So, I talked to people and all the stuff, and I discovered, you know, that I could do a good service by planning good communities and job places and uh hospitals and all those things, you know, that really could provide a good service And, uh, and then I won’t see blood or I won’t see the math So, what I did was that I did my graduate work at Peabody-Vanderbilt, and then I look for where should I go to—go to get the degree"
pride,"And from there, uh I went to classes, and in 1966, I graduated with a master’s degree"
pride,"In three hours, you need to excel which I found it extremely difficult, especially in social studies and English memorizing whole year study in a small question but somehow I found the science and mathematics I can do really excel well, even though one year study then, that's that was it started, I was leaning towards science and maths, nothing else"
pride,"I said okay that's fine, but I don't have a car or anything No don't worry about it, it is not far away from the train station, so you can live there, Then I moved to their house and I got little bit foredom, freedom Then I started exploring the story to cut the story short, that is where I am first learning my cooking and my before that, I didn't even know how to make coffee M: I learned cooking, and though I explored London, it developed a lot of confidence in me M: Not only that, I was managed to successfully complete the research project, everybody was so happy there"
pride,"And I had a independent, very independent hand to run a project I can hire students and I can hire lab technicians, I can do whatever I want, only restriction, it has to be within the mucus immunology area M: Then I jumped on to it, I didn't even think about second chance That is the best place to raise family I think Then at that time I kind of changed my mind, let me live in Philly area and I can visit India, help them out kind of thing, because I got my green card and I got my decent job and I got my child here"
pride,"I think I almost rediscovered myself, um, living through my children Um, you know, having all the wonderful experiences of sending them to school here to get that experience of of, uh, volunteering, of being with them on their field trips, of of- the way the educational system was, in this country, was so different than what we grew up with And sometimes, I feel that, as an immigrant, we do tend to confuse our children, because they learn one thing in school and then they come home and we try to enforce certain ways that we grew up with at home and, um, I am I am extremely proud to say that, um, that my children actually handled that really well That that they, um, you know, in spite of, in spite of being told, you know, things like- okay, either it was their food habits or their studying habits or whatever it was, they adapted so well to it But, but I think I changed my whole opinion of how education and- needed to be so well balanced, um, and it just didn’t have to be study, study, study the way the way we were kind of brought up, um, in in India, you know"
pride,"And I was like, “Yeah ” And I started this conversation with her Here’s me trying to start a basketball team in a girls’ school where I had no friends Malindi: So So, um but she was—really encouraged me"
pride,"Yeah, I couldn’t, walk really well Um I was kind of slow, but I went back to school, and I remember that the first day of school um everybody had brought me presents, and the teachers and everybody were so welcoming, and it was a really cool day Um and then, eventually when I got physically better, I joined the basketball team again and you actually came to a game Malindi: My mom brought you to a basketball game Um so, I graduated from American International School of Johannesburg the year later after that"
disgust,"Like 14-hour days I lived on board pretty much nonstop Um, and so, uh, we had a super fun time and then, but like year one went by, we had lots of trials and stuff, but I had really not done much like coursework for Grad school And then year two was coming around and like we had some minor wrinkles, let's say in one of our sea trials we went out to sea, um, uh, and we hit a really bad storm And then as you can imagine, like it was like a bunch of different, it was like a mess in a sense that like our satellite warning system had not had, had not warned us because we had uh, like, uh, we had acquired a rat problem because we had gone and if… there was a major tsunami in that area, like Indonesia, Sri Lanka and other countries were completely submerged”"
disgust,"So then thankfully, like in the way the contract was written and stuff, I was able to get out of my short service like commission, um, and then at that point, like I only had two choices, one was like stay in the Navy and just be a random Navy officer or doing whatever random, like a technical assignment they would give me or I would have to go back to this project and spend another three years rebuilding this vessel, uh, for future, like for an unknown future And because they were in an aggressive timeline to rebuild a lot of pressure to work on this, and I don't think I would have had time to do any grad school stuff, and like I was way behind already, so the cleanest, nicest way to get out as recommended by some people at where I used to work with were, like, you know, ‘just start applying for grad school elsewhere where you get out, it's clean ah, and so I was eager to go to Sweden, mainly I want to go to Chalmers, uh, and then I applied to a couple of schools in Sweden, um, and then, uh, it was very rushed and I didn't really prep very hard and I got like, I thought it was a pretty bad ass, I had a good resume and stuff, and so when I applied and I got rejected, I was like, ‘Shit, like I need, I think I really, I screwed up my career here’, like, so, so then I, um, then I sort of took a couple of months, uh, re-, you know, planned out like my resume and like application letters and everything, and this time I just like, the safe option was to apply to the U S because like the U S"
disgust,"Qualified for I am not getting it so I have to go to another field, start from the scratch, it takes lot of time and effort to come back and start a new job but situation is there, that’s what uh–– No, she was basically an accountant, master’s degree––master’s in accounts but she also, the same way I’ve been treated, like wherever she goes, “Oh you have a beautiful like education,” “You are qualified,” but when it comes to the final thing, they say, “We are sorry,” because it’s all about––it’s kind of a discrimination because they don’t give a job since she has not done her education here And finally, she ending up getting a job as a bank teller being an accountant so that’s really unfair, but what to do, we have to survive, we have to get a job so she was working there for almost four years"
disgust,"My sister’s  brother, my Mama ji, he was there too, and they gave him piece of paper, “This is the case, this the name of the people, let’s give this to judge and they’ll be fine ” And I took the bicycle, I went part of the way and discovered I didn’t bring the piece of paper, so what am I going to do When I came in secretly to pick up the piece of paper, um I overheard the conversation going on between my mother, her brother, and my father He said, “Now—” remember, I’m the oldest in the family of five, and they said, “You know, he’s grown up, we— and he finished his college, we’ll get him a good job and get him married ” And I said, “Oh my god, I don’t want to get married"
disgust,"Once I got the admission, immigration used to be fairly simple, you know So, when I got the admission, I got the—even the card room assigned in the dorm, all that stuff ready to go I was going to be going to the engineering school And what happened when I went to the—I told my father, okay, once I made up my mind, I don’t want to stick around there And in my heart it was, “I don’t want to get married, I want to go, and you know, why not"
