topic number,top 10 keywords,first meaningful,llr keywords,keybert keywords
18,"sikh, like, queer, learning, met, beautiful, also, journey, think, critical",sadness,"['journey', 'identified', 'india', 'trans', 'unsettled', 'sikh', 'people', 'different', 'finding', 'overall']","['sikh', 'sikhism', 'sikhi', 'sikhs', 'sahibs', 'queerness', 'queer', 'traumatic', 'religion', 'panjabi']"
19,"music, band, school, going, scientist, play, major, high, work, club",disappointment,"['didn', 'know', 'wanted', 'able', 'chapel', 'couldn', 'couple', 'hill', 'scientist', 'unc']","['unc', 'grad', 'university', 'pursue', 'semesters', 'ivy', 'accident', 'school', 'professor', 'couldn']"
20,"sister, brother, passed, younger, family, grandparent, side, ago, name, cousin",sadness,"['passed', 'grandparents', 'lived', 'ago', 'younger', 'brother', 'absolutely', 'grandma', 'shock', 'youngest']","['grandparents', 'grandpa', 'siblings', 'family', 'families', 'grandmother', 'parents', 'grandma', 'sister', 'father']"
21,"law, wanted, started, getting, company, graduated, use, year, change, make",desire,"['wanted', 'work', 'program', 'years', 'change', 'company', 'great', 'want', 'life', 'make']","['degree', 'mba', 'transition', 'law', 'promoted', 'analyst', 'applying', 'laws', 'business', 'learn']"
22,"teacher, said, kid, pulled, feeling, class, grade, pushed, saying, attention",disgust,"['bathroom', 'oh', 'really', 'mean', 'say', 'uncomfortable', 'community', 'expectations', 'time', 'don']","['school', 'teacher', 'teachers', 'expectations', 'parents', 'embarrassing', 'uncomfortable', 'bathroom', 'kids', 'caring']"
23,"indian, american, food, african, child, think, wild, girl, boston, little",realization,"['way', 'people', '70s', 'america', 'annapolis', 'appropriate', 'books', 'closest', 'colombian', 'cooking']","['indian', 'cooking', 'colombian', 'peace', 'learn', 'dress', 'food', 'teacher', 'parents', 'taught']"
24,"teaching, meeting, literature, curriculum, love, research, french, loved, student, helped",love,"['love', 'helped', 'going', 'know', 'getting', 'meeting', 'teaching', 'students', 'classes', 'got']","['teaching', 'teach', 'teacher', 'teachers', 'tutor', 'studying', 'student', 'reading', 'students', 'college']"
25,"patel, grade, need, event, teacher, day, would, english, biggest, first",sadness,"['english', 'didn', 'certain', 'time', 'affected', 'know', 'quickly', 'understand', 'understood', 'lot']","['patel', 'struggled', 'grades', 'experiences', 'accents', 'teacher', 'english', 'understanding', 'school', 'read']"
26,"issue, people, young, study, work, community, able, aware, organizing, struggle",realization,"['week', 'understand', 'just', 'american', 'issues', 'bodies', 'going', 'history', 'ingrained', 'plaza']","['racism', 'protests', 'protest', 'systemic', 'understanding', 'community', 'violent', 'african', 'ingrained', 'abusive']"
27,"help, would, like, teacher, love, able, hospital, hey, never, need",disgust,"['having', 'hospital', 'come', 'teacher', 'person', 'twelfth', 'want', 'like', 'help', 'asleep']","['lupus', 'disability', 'wheelchair', 'humiliated', 'schooled', 'hospital', 'teacher', 'school', 'survive', 'homeschool']"
28,"math, test, science, table, reading, grade, writing, always, strong, bad",disgust,"['didn', 'tables', 'tv', 'grade', 'just', 'multiplication', 'don', 'really', 'especially', 'learn']","['reading', 'grades', 'writing', 'math', 'generation', 'school', 'hated', 'elementary', 'hate', 'parents']"
29,"challenge, using, folk, hip, response, counselor, training, situation, student, center",disgust,"['distracted', 'handle', 'hours', 'interacted', 'messed', 'occasions', 'organize', 'previous', 'responsible', 'tried']","['organizers', 'organize', 'feminist', 'assault', 'rape', 'collegesexual', 'occasions', 'school', 'issues', 'culture']"
30,"reading, tradition, british, man, paper, book, find, great, called, teaching",realization,"['weber', 'think', 'came', 'class', 'max', 'novel', 'old', 'zamindar', 'did', 'family']","['weber', 'ethnographic', 'anthropologists', 'bohemian', 'zamindar', 'teacher', 'books', 'teaching', 'book', 'professor']"
31,"book, class, read, reading, remember, named, teacher, name, took, cool",admiration,"['library', 'ta', 'know', 'remember', 'just', 'books', 'took', 'alien', 'awe', 'basically']","['consolation', 'books', 'teacher', 'chick', 'library', 'school', 'tattoos', 'punk', 'friend', 'awe']"
32,"space, question, piece, organizing, room, challenge, making, asked, design, bigger",excitement,"['bringing', 'creating', 'creativity', 'excited', 'face', 'flourish', 'francisco', 'happening', 'justice', 'master']","['teaching', 'teachers', 'taught', 'education', 'passionate', 'movement', 'social', 'master', 'creativity', 'oakland']"
33,"college, boy, mentioned, better, information, felt, home, decision, sport, went",realization,"['administrative', 'brought', 'called', 'catholic', 'contact', 'discovery', 'interesting', 'lived', 'man', 'mean']","['jesuits', 'catholic', 'xavier', 'vester', 'lived', 'college', 'fr', 'discovery', 'st', 'contact']"
34,"india, adult, group, indian, community, movement, certainly, also, within, feel",desire,"['like', 'rooted', 'act', 'area', 'couple', 'doing', 'energy', 'figure', 'forward', 'future']","['meetings', 'indian', 'ways', 'act', 'doing', 'students', 'community', 'involved', 'law', 'rooted']"
35,"trip, remember, old, picture, twelve, grade, eighth, went, month, memory",sadness,"['went', 'kids', 'knew', 'months', 'grade', 'school', 'think', 'actually', 'different', 'guess']","['memories', 'trip', 'remember', 'recollection', 'kids', 'school', 'miss', 'think', 'old', 'years']"
36,"help, used, service, health, learned, woman, league, finding, bangladeshi, land",realization,"['work', 'don', 'community', 'learned', 'academic', 'asked', 'bangladeshi', 'based', 'cause', 'cope']","['coping', 'bangladeshi', 'cope', 'bangladesh', 'stressed', 'parents', 'immigration', 'struggles', 'learned', 'privilege']"
37,"pakistan, medical, west, choice, east, side, available, apply, option, physician",gratitude,"['year', '23', 'allow', 'anybody', 'council', 'don', 'experience', 'felt', 'finish', 'fully']","['medical', 'training', 'patients', 'kashmiris', 'pakistan', 'trained', 'practitioner', 'hospitals', 'mandatory', 'join']"
38,"british, decided, told, father, visit, dad, separate, london, remember, boarding",neutral,[],"['nairobi', 'kenya', 'memories', 'travel', 'father', 'sabbatical', 'africana', 'family', 'colony', 'parents']"
39,"college, phase, conversation, third, later, second, year, became, speaker, trying",gratitude,"['multiple', 'stressed', 'sure', 'wanted', 'yeah', 'decide', 'deciding', 'especially', 'figure', 'head']","['college', 'stressed', 'supportive', 'conversations', 'life', 'honestly', 'deciding', 'support', 'yeah', 'especially']"
40,"english, british, language, learned, watching, different, know, spoke, speaking, fine",gratitude,"['just', 'sure', 'like', 'language', 'coming', 'definitely', 'pretty', 'think', 'yeah', 'different']","['english', 'learned', 'language', 'learn', 'immersion', 'learning', 'vocabulary', 'improve', 'school', 'speaking']"
41,"center, board, committee, heritage, idea, talked, train, history, formed, jain",joy,"['chism', 'backyard', 'chennai', 'council', 'enjoyed', 'exhibition', 'madras', 'met', 'museums', 'oh']","['madras', 'chism', 'chennai', 'council', 'museums', 'exhibition', 'pool', 'professor', 'met', 'named']"
42,"chapel, hill, park, queen, large, people, turn, academically, place, outside",pride,"['really', 'large', 'park', 'big', 'got', 'love', 'new', 'person', 'turn', 'like']","['chapel', 'wear', 'freshman', 'met', 'honestly', 'braces', 'engage', 'school', 'authentic', 'felt']"
43,"woman, muslim, men, like, impacted, issue, organizing, brooklyn, support, recognizing",sadness,"['community', 'students', 'work', 'didn', 'feel', 'friends', 'important', 'issues', 'place', 'ways']","['imam', 'muslim', 'traumatized', 'community', 'spirituality', 'justice', 'women', 'murdered', 'belonging', 'wives']"
44,"wearing, wear, clean, london, islamic, bus, felt, put, line, deal",fear,"['kameez', 'salwar', 'skirt', 'felt', 'know', 'uniform', 'class', 'day', 'don', 'nails']","['skirt', 'wear', 'hijab', 'assimilation', 'insecure', 'traditional', 'comfortable', 'wearing', 'feeling', 'worn']"
45,"nothing, like, story, beginning, interesting, son, started, stuff, parent, value",sadness,"['started', 'parents', 'stuff', 'away', 'brother', 'stories', 'understand', 'world', 'interesting', 'time']","['palestinian', 'parents', 'teenager', 'relate', 'stories', 'brutal', 'reality', 'liberation', 'brother', 'sad']"
46,"better, get, affected, education, give, telling, lived, kid, though, especially",annoyance,"['citizens', 'better', 'jobs', 'priority', 'grades', 'nepali', 'argue', 'credentials', 'difficult', 'documents']","['nepali', 'bhutanese', 'refugees', 'jobs', 'graduated', 'grades', 'difficult', 'priorities', 'citizens', 'priority']"
47,"student, indian, club, twin, involved, engineering, activity, board, party, mostly",sadness,"['oregon', 'centered', 'days', 'didn', 'everybody', 'fewer', 'florida', 'friends', 'hang', 'hung']","['indian', 'india', 'self', 'association', 'students', 'oregon', 'quit', 'friends', 'florida', 'job']"
48,"woman, course, movement, gender, bangladeshi, study, south, cultural, history, taking",realization,"['history', 'south', 'courses', 'asian', 'bangladeshi', 'cultural', 'movement', 'place', 'taking', 'white']","['bangladeshi', 'pursuing', 'women', 'masculinity', 'woman', 'history', 'cultural', 'liberation', 'teachings', 'literature']"
